Igbo,English
dị ka,as
ya,his
na,that
bụ,was
n’ihi na,for
ụfọdụ,on
ọrụ,with
ha,they
ịbụ,be
otu,one
a,this
si,from
site,by
okwu,word
ihe,what
bụ,is
ya,it
ma ọ bụ,or
nwere,had
na,the
nke,of
na-,to
a,a
na,in
anyị,we
ike,can
si,out
nke,which
ha,their
oge,time
ma ọ bụrụ na,if
ekpe,will
otú,how
kwuru,said
ọ bụla,each
ịgwa,tell
ke,does
set,set
ikuku,air
ọma,well
na-,also
igwu egwu,play
obere,small
tinye,put
na-agụ,read
aka,hand
ọdụ ụgbọ mmiri,port
asụpe,spell
tinye,add
ọbụna,even
ebe a,here
ana,must
nnukwu,big
elu,high
dị,such
na-eso,follow
ndị ikom,men
wee,went
ìhè,light
ụdị,kind
anya,off
mkpa,need
ụlọ,house
foto,picture
na-agbalị,try
anyị,us
ọzọ,again
ebe,point
ụwa,world
nso,near
ewu,build
onwe,self
nna,father
ọ bụla,any
ọhụrụ,new
ọrụ,work
nara,take
nweta,get
ebe,place
mere,made
ebe,where
mgbe,after
azụ,back
naanị,only
gburugburu,round
nwoke,man
afọ,year
wee,came
izi,show
mma,good
m,me
aha,name
nnọọ,very
site na,through
dị nnọọ,just
ụdị,form
ikpe,sentence
akwa,great
chere,think
aka,help
ala,low
iche,differ
N’aka,turn
kpatara,cause
ukwuu,much
pụtara,mean
nkwaghari,move
nri,right
nwa,boy
ochie,old
oke,too
ọ,she
niile,all
n’ebe ahụ,there
mgbe,when
elu,up
iji,use
gị,your
ụzọ,way
ọtụtụ,many
dee,write
dị ka,like
otú,so
eme ka,make
ihe,thing
ịhụ,see
abụọ,two
nwere,has
anya,look
mere,did
ọnụ ọgụgụ,number
ada,sound
mba,no
kacha,most
ndị mmadụ,people
m,my
n’elu,over
mara,know
mmiri,water
karịa,than
mbụ,first
ala,down
